,0_0,0_1,0_2,1_1,1_2,2_2,1_0,2_0,2_1
S|0x0|1x1|1x2|0o1|0o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|0o1|0o2|2o1,0,0,0,0,0,0.7,0.7,0.5190300000000001,0
S|0x0|1x0|1x1|1x2|0o1|0o2|2o1,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|2x0|0o1|0o2|2o2,0,0,0,0,0,0,0,0,0
S|1x1|2x1|1o0|2o0,0.5458526220825405,0.7,-1,0,0.0,-1,0,0,0
S|0x2|1x1|2x1|1o0|2o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x1|1o0|2o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x1|1o0|2o0|2o2,0,0.7,0.0,0,0.0,0,0,0,0
S|0x0|0x2|1x1|2x1|1o0|2o0|2o2,0,0,0,0,0,0,0,0,0
S|0x0|0x2|1x1|2x1|0o1|1o0|2o0|2o2,0,0,0,0,0.0,0,0,0,0
S|0x0|0x2|1x1|1x2|2x1|0o1|1o0|2o0|2o2,0,0,0,0,0,0,0,0,0
S|0x0|0x2|1x0|1x1|0o1|1o2|2o1|2o2,0,0,0,0,0,0,0,0.7,0
S|0x0|0x2|1x0|1x1|2x0|0o1|1o2|2o1|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x1|0o2|1o0|2o0,0,0.7,0,0,0,0,0,0,0
S|0x0|0x1|1x1|2x1|0o2|1o0|2o0,0,0,0,0,0,0,0,0,0
S|0x0|0x2|1x1|2x1|1o0|1o2|2o0|2o2,0,0.7,0,0,0,0,0,0,0
S|0x0|0x1|0x2|1x1|2x1|1o0|1o2|2o0|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x1|0o1|1o0|2o0,0,0,0.07202999999999998,0,0,0.7,0,0,0
S|0x0|1x1|2x1|2x2|0o1|1o0|2o0,0,0,0,0,0,0,0,0,0
S|0x1|1o2,0.000493211408490235,0,0.24215591304821996,0.34145034439850264,0,0.017405588756506087,0.12980062655189817,0.04044667183695742,0.0002109567079345702
S|0x1|1x0|1o2,0,0,0,0,0,0,0,0,0
S|0x1|1x0|1o2|2o0,0,0,0,0.0,0,0.33906861619402284,0,0,0
S|0x1|1x0|2x2|1o2|2o0,0,0,0,0,0,0,0,0,0
S|0x1|1x0|2x2|0o2|1o2|2o0,-1,0,0,0.588235294117647,0,0,0,0,-1
S|0x1|1x0|1x1|2x2|0o2|1o2|2o0,0,0,0,0,0,0,0,0,0
S|0x1|1x0|1x1|2x2|0o2|1o2|2o0|2o1,0.7,0,0,0,0,0,0,0,0
S|0x0|0x1|1x0|1x1|2x2|0o2|1o2|2o0|2o1,0,0,0,0,0,0,0,0,0
S|0x0|1x0|1x1|1x2|0o1|0o2|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|0o1|0o2|1o0,0,0,0,0,0,0.7,0,0,0
S|0x0|1x1|1x2|0o1|0o2|2o0,0,0,0,0,0,0.7,0.7,0,0.5882352725274305
S|0x0|1x1|1x2|2x1|0o1|0o2|2o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|2x1|0o1|0o2|1o0|2o0,0,0,0,0,0,0.7,0,0,0
S|0x0|1x1|1x2|2x1|2x2|0o1|0o2|1o0|2o0,0,0,0,0,0,0,0,0,0
S|1x1|0o0,0,0.21657576271938103,9.334757579288006e-08,0,4.870459930168641e-08,1.7493374967506968e-05,1.9759977265195324e-05,4.650670474708247e-08,3.664807976118583e-08
S|1x1|2x0|0o0,0,0,0,0,0,0,0,0,0
S|1x1|2x0|0o0|1o2,0,0.24373628999999997,0.7,0,0,0.21000000000000002,0.0,0,0.5882352908143438
S|1x1|2x0|2x1|0o0|1o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x1|0o0|0o1|1o2,0,0,0.7,0,0,0.7,-1,0,0
S|1x1|2x0|2x1|2x2|0o0|0o1|1o2,0,0,0,0,0,0,0,0,0
S|0x1|1x1|2x0|2x1|0o0|0o2|2o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|1x2|0o1|0o2,0,0,0,0,0,0,0,0,0
S|0x1|1x1|1x2|0o0|0o2|2o2,0,0,0,0,0,0,0.7,0.5862804158488469,0.7
S|0x1|1x1|1x2|2x1|0o0|0o2|2o2,0,0,0,0,0,0,0,0,0
S|0x1|1x1|1x2|0o0|0o2|1o0,0,0,0,0,0,-1,0,0.008474257469999996,0.7
S|0x1|1x1|1x2|2x2|0o0|0o2|1o0,0,0,0,0,0,0,0,0,0
S|0x1|1x1|1x2|2x2|0o0|0o2|1o0|2o1,0,0,0,0,0,0,0,0.0,0
S|1x0|2x2|1o1|2o0,-1,-1,0.09000146420293825,0,-1,0,0,0,-0.7
S|0x1|1x0|2x2|1o1|2o0,0,0,0,0,0,0,0,0,0
S|0x1|1x1|1x2|2x0|0o0|0o2|1o0,0,0,0,0,0,0,0,0,0
S|0x1|1x1|1x2|2x0|0o0|0o2|1o0|2o2,0,0,0,0,0,0,0,0,0.7
S|0x1|1x1|1x2|2x0|2x1|0o0|0o2|1o0|2o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x2|0o0|0o1|1o2,0,0,0.7,0,0,0,-1,0,0.7
S|1x1|2x2|0o2,0,0,0,0,0,0,0,0,0
S|1x1|2x1|2x2|0o1|0o2|1o0,0,0,0,0,0,0,0,0.7,0
S|1x1|2x0|2x1|2x2|0o1|0o2|1o0,0,0,0,0,0,0,0,0,0
S|1x1|2x2|0o1|0o2,0.7,0,0,0,-1,0,-1,0,0
S|1x0|1x1|2x2|0o1|0o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x2|0o1|0o2|2o0,0.7,0,0,0,0,0,0,0,-1
S|1x0|1x1|2x1|2x2|0o1|0o2|2o0,0,0,0,0,0,0,0,0,0
